Date,Community ID,Contains Label,Similarity,Lineage Counts,Matched From Date,Matched From Community ID,Core Node,Mutations_of_core_node,Matched From Time Index,Alternative Matched From
2020-07-06,0,True,0.000,"{""B.1.1"": 2, ""B.1.1.28"": 12, ""B.1.1.33"": 37, ""P.2"": 1}",<NA>,<NA>,B.1.1,28883(SNP:G->C),<NA>,[]
2020-07-13,0,True,0.967,"{""B.1.1"": 2, ""B.1.1.28"": 15, ""B.1.1.33"": 43, ""P.2"": 2}",2020-07-06,0,B.1.1,28883(SNP:G->C),5,[]
2020-07-20,0,True,0.959,"{""B.1.1"": 2, ""B.1.1.28"": 21, ""B.1.1.33"": 47, ""P.2"": 2}",2020-07-13,0,B.1.1,28883(SNP:G->C),6,[]
2020-07-27,0,True,0.993,"{""B.1.1"": 2, ""B.1.1.28"": 21, ""B.1.1.33"": 50, ""P.2"": 2}",2020-07-20,0,B.1.1,28883(SNP:G->C),7,[]
2020-08-03,0,True,0.970,"{""B.1.1"": 4, ""B.1.1.28"": 24, ""B.1.1.33"": 55, ""P.2"": 3, ""P.7"": 1}",2020-07-27,0,B.1.1,28883(SNP:G->C),8,[]
2020-08-10,0,True,0.981,"{""B.1.1"": 4, ""B.1.1.28"": 28, ""B.1.1.33"": 56, ""P.2"": 3, ""P.7"": 1}",2020-08-03,0,B.1.1,28883(SNP:G->C),9,[]
2020-08-17,0,True,0.990,"{""B.1.1"": 5, ""B.1.1.28"": 28, ""B.1.1.33"": 59, ""P.2"": 4, ""P.7"": 1}",2020-08-10,0,B.1.1,28883(SNP:G->C),10,[]
2020-08-24,0,True,0.976,"{""B.1.1"": 6, ""B.1.1.28"": 29, ""B.1.1.33"": 65, ""P.1"": 1, ""P.2"": 5, ""P.7"": 1}",2020-08-17,0,B.1.1,28883(SNP:G->C),11,[]
2020-08-31,0,True,0.982,"{""B.1.1"": 7, ""B.1.1.28"": 33, ""B.1.1.33"": 66, ""N.1"": 1, ""P.1"": 1, ""P.2"": 5, ""P.7"": 1}",2020-08-24,0,B.1.1,28883(SNP:G->C),12,[]
2020-09-07,0,True,0.984,"{""B.1.1"": 8, ""B.1.1.28"": 35, ""B.1.1.33"": 71, ""N.1"": 1, ""P.1"": 1, ""P.2"": 6, ""P.7"": 1}",2020-08-31,0,B.1.1,28883(SNP:G->C),13,[]
2020-09-14,0,True,0.987,"{""B.1.1"": 8, ""B.1.1.28"": 37, ""B.1.1.33"": 75, ""B.1.1.332"": 1, ""N.1"": 1, ""P.1"": 1, ""P.2"": 7, ""P.7"": 1}",2020-09-07,0,B.1.1,28883(SNP:G->C),14,[]
2020-09-21,0,True,0.990,"{""B.1.1"": 9, ""B.1.1.28"": 41, ""B.1.1.33"": 76, ""B.1.1.332"": 1, ""N.1"": 1, ""P.1"": 1, ""P.2"": 7, ""P.7"": 1}",2020-09-14,0,B.1.1,28883(SNP:G->C),15,[]
2020-09-28,0,True,0.981,"{""B.1.1"": 10, ""B.1.1.28"": 49, ""B.1.1.33"": 76, ""B.1.1.332"": 1, ""N.1"": 1, ""P.1"": 1, ""P.2"": 7, ""P.7"": 1}",2020-09-21,0,B.1.1,28883(SNP:G->C),16,[]
2020-10-05,0,True,0.994,"{""B.1.1"": 10, ""B.1.1.28"": 51, ""B.1.1.33"": 78, ""B.1.1.332"": 1, ""N.1"": 2, ""P.1"": 1, ""P.2"": 7, ""P.7"": 1}",2020-09-28,0,B.1.1,28883(SNP:G->C),17,[]
2020-10-12,0,True,0.988,"{""B.1.1"": 10, ""B.1.1.28"": 54, ""B.1.1.33"": 83, ""B.1.1.332"": 1, ""N.1"": 2, ""P.1"": 1, ""P.2"": 8, ""P.7"": 1}",2020-10-05,0,B.1.1,28883(SNP:G->C),18,[]
2020-10-19,0,True,0.987,"{""B.1.1"": 12, ""B.1.1.28"": 55, ""B.1.1.33"": 87, ""B.1.1.332"": 1, ""N.1"": 2, ""P.1"": 1, ""P.2"": 11, ""P.7"": 1}",2020-10-12,0,B.1.1,28883(SNP:G->C),19,[]
2020-10-26,0,True,0.981,"{""B.1.1"": 12, ""B.1.1.28"": 60, ""B.1.1.33"": 89, ""B.1.1.332"": 1, ""N.1"": 2, ""N.3"": 1, ""N.9"": 1, ""P.1"": 1, ""P.2"": 14, ""P.7"": 2}",2020-10-19,0,B.1.1,28883(SNP:G->C),20,[]
2020-11-02,0,True,0.987,"{""B.1.1"": 13, ""B.1.1.28"": 64, ""B.1.1.33"": 91, ""B.1.1.332"": 1, ""N.1"": 2, ""N.3"": 1, ""N.9"": 1, ""P.1"": 1, ""P.2"": 23, ""P.7"": 2}",2020-10-26,0,B.1.1,28883(SNP:G->C),21,[]
