Mutations_str,Date,ID,Lineage,Location,Ancestor_ID,kshell,wdks
3037(SNP:C->T);14408(SNP:C->T);15324(SNP:C->T);23403(SNP:A->G);25433(SNP:C->T);29546(SNP:C->T),2020-03-30,['EPI_ISL_429776' 'EPI_ISL_418418' 'EPI_ISL_418419'],B.1.147,France,"['EPI_ISL_418663' 'EPI_ISL_418811' 'EPI_ISL_420409' 'EPI_ISL_420445'
 'EPI_ISL_429806' 'EPI_ISL_429811' 'EPI_ISL_429816' 'LR794668.1'
 'EPI_ISL_420847' 'EPI_ISL_444495' 'EPI_ISL_451168' 'EPI_ISL_447120']",1,4.739185230899658e-06
3037(SNP:C->T);14408(SNP:C->T);15324(SNP:C->T);21724(SNP:G->T);23403(SNP:A->G);25433(SNP:C->T),2020-03-23,['EPI_ISL_416757'],B.1.147,France,"['EPI_ISL_418663' 'EPI_ISL_418811' 'EPI_ISL_420409' 'EPI_ISL_420445'
 'EPI_ISL_429806' 'EPI_ISL_429811' 'EPI_ISL_429816' 'LR794668.1'
 'EPI_ISL_420847' 'EPI_ISL_444495' 'EPI_ISL_451168' 'EPI_ISL_447120']",1,4.739185230899658e-06
3037(SNP:C->T);14408(SNP:C->T);15324(SNP:C->T);18656(SNP:C->T);23403(SNP:A->G);25433(SNP:C->T),2020-03-29,['EPI_ISL_418222'],B.1.147,France,"['EPI_ISL_418663' 'EPI_ISL_418811' 'EPI_ISL_420409' 'EPI_ISL_420445'
 'EPI_ISL_429806' 'EPI_ISL_429811' 'EPI_ISL_429816' 'LR794668.1'
 'EPI_ISL_420847' 'EPI_ISL_444495' 'EPI_ISL_451168' 'EPI_ISL_447120']",1,4.739185230899658e-06
3037(SNP:C->T);14408(SNP:C->T);15324(SNP:C->T);23403(SNP:A->G);25433(SNP:C->T);26313(SNP:C->T),2020-03-30,['EPI_ISL_418653'],B.1.147,Belgium,"['EPI_ISL_418663' 'EPI_ISL_418811' 'EPI_ISL_420409' 'EPI_ISL_420445'
 'EPI_ISL_429806' 'EPI_ISL_429811' 'EPI_ISL_429816' 'LR794668.1'
 'EPI_ISL_420847' 'EPI_ISL_444495' 'EPI_ISL_451168' 'EPI_ISL_447120']",1,4.739185230899658e-06
3037(SNP:C->T);11083(SNP:G->T);14408(SNP:C->T);15324(SNP:C->T);18828(SNP:C->T);23403(SNP:A->G),2020-04-29,['EPI_ISL_434502'],B.1,Luxembourg,['EPI_ISL_420381' 'EPI_ISL_437352' 'MT506893.1'],1,4.739185230899658e-06
3037(SNP:C->T);11083(SNP:G->T);14408(SNP:C->T);15324(SNP:C->T);23403(SNP:A->G);29555(SNP:C->T),2020-05-08,['EPI_ISL_437338'],B.1,Democratic Republic of the Congo,['EPI_ISL_420381' 'EPI_ISL_437352' 'MT506893.1'],1,4.739185230899658e-06
3037(SNP:C->T);4158(SNP:C->T);11572(SNP:C->T);14408(SNP:C->T);15324(SNP:C->T);23403(SNP:A->G),2020-05-08,['EPI_ISL_437337'],B.1.149,Democratic Republic of the Congo,"['EPI_ISL_416493' 'EPI_ISL_417946' 'EPI_ISL_417947' 'EPI_ISL_418024'
 'EPI_ISL_418230' 'EPI_ISL_418231' 'EPI_ISL_418234' 'EPI_ISL_418628'
 'EPI_ISL_418632' 'EPI_ISL_418634' 'EPI_ISL_418635' 'EPI_ISL_418648'
 'EPI_ISL_418657' 'EPI_ISL_418659' 'EPI_ISL_418795' 'EPI_ISL_419593'
 'EPI_ISL_420035' 'EPI_ISL_420039' 'EPI_ISL_420083' 'EPI_ISL_420365'
 'EPI_ISL_420368' 'EPI_ISL_420373' 'EPI_ISL_420380' 'EPI_ISL_420382'
 'EPI_ISL_420384' 'EPI_ISL_420389' 'EPI_ISL_420390' 'EPI_ISL_420395'
 'EPI_ISL_420396' 'EPI_ISL_420397' 'EPI_ISL_420427' 'EPI_ISL_420432'
 'EPI_ISL_420434' 'EPI_ISL_420440' 'EPI_ISL_420452' 'EPI_ISL_421508'
 'EPI_ISL_421745' 'EPI_ISL_421746' 'MT320538.2' 'EPI_ISL_427394'
 'EPI_ISL_428890' 'EPI_ISL_429724' 'EPI_ISL_429766' 'EPI_ISL_429782'
 'EPI_ISL_434621' 'EPI_ISL_434622' 'EPI_ISL_434623' 'EPI_ISL_434624'
 'EPI_ISL_434625' 'EPI_ISL_434631' 'EPI_ISL_434632' 'EPI_ISL_434633'
 'EPI_ISL_434634' 'EPI_ISL_435032' 'EPI_ISL_433646' 'EPI_ISL_437348'
 'EPI_ISL_437350' 'FR994049.1' 'EPI_ISL_443291' 'EPI_ISL_444969'
 'EPI_ISL_445069' 'MT358643.1' 'MT470101.1' 'MT470102.1' 'MT470106.1'
 'MT470110.1' 'MT470113.1' 'MT470114.1' 'MT470118.1' 'MT470124.1'
 'MT470133.1' 'MT470136.1' 'MT470138.1' 'MT470140.1' 'MT470143.1'
 'MT470148.1' 'MT470155.1' 'MT470162.1' 'MT470164.1' 'MT470165.1'
 'MT470167.1' 'MT470173.1' 'MT470176.1' 'EPI_ISL_445216' 'EPI_ISL_445272'
 'EPI_ISL_450519' 'LR824235.1' 'LR824247.1' 'LR824250.1' 'LR824268.1'
 'LR824263.1' 'LR824266.1' 'LR824283.1' 'LR824301.1' 'LR824326.1'
 'LR824321.1' 'LR824318.1' 'LR824325.1' 'LR824342.1' 'LR824371.1'
 'LR824381.1' 'LR824400.1' 'LR824409.1' 'LR824413.1' 'LR824414.1'
 'EPI_ISL_451935' 'EPI_ISL_452148' 'EPI_ISL_452151' 'EPI_ISL_452152'
 'EPI_ISL_453982' 'EPI_ISL_457974' 'NMDC60013159' 'NMDC60013162'
 'NMDC60013163' 'NMDC60013164' 'NMDC60013165' 'NMDC60013166'
 'NMDC60013167' 'NMDC60013168' 'NMDC60013169' 'NMDC60013170'
 'NMDC60013171' 'NMDC60013172' 'NMDC60013173' 'NMDC60013174'
 'NMDC60013175' 'NMDC60013176' 'NMDC60013177' 'NMDC60013184'
 'NMDC60013186' 'NMDC60013188' 'NMDC60013189' 'NMDC60013190'
 'NMDC60013191' 'NMDC60013192' 'NMDC60013193' 'NMDC60013194'
 'NMDC60013195' 'NMDC60013196' 'NMDC60013197' 'NMDC60013198'
 'NMDC60013199' 'NMDC60013239' 'NMDC60013240' 'NMDC60013242' 'LR794385.1'
 'LR794405.1' 'LR794433.1' 'LR794462.1' 'LR794514.1' 'LR794519.1'
 'LR794530.1' 'LR794549.1' 'LR794564.1' 'LR794619.1' 'LR794620.1'
 'LR794650.1' 'EPI_ISL_421932' 'EPI_ISL_420624' 'EPI_ISL_420620'
 'EPI_ISL_420609' 'EPI_ISL_420611' 'EPI_ISL_420619' 'EPI_ISL_420598'
 'EPI_ISL_420605' 'EPI_ISL_451091' 'EPI_ISL_434889' 'EPI_ISL_451087'
 'EPI_ISL_451084' 'EPI_ISL_455978' 'EPI_ISL_439246' 'EPI_ISL_453745'
 'EPI_ISL_453760' 'EPI_ISL_439159' 'EPI_ISL_432762' 'EPI_ISL_434503'
 'EPI_ISL_434493' 'EPI_ISL_442479' 'EPI_ISL_427379' 'EPI_ISL_427385'
 'EPI_ISL_432478' 'EPI_ISL_424658' 'EPI_ISL_424652' 'EPI_ISL_424655'
 'EPI_ISL_424644' 'EPI_ISL_424642' 'EPI_ISL_424650' 'EPI_ISL_424633'
 'EPI_ISL_424640' 'EPI_ISL_428944' 'EPI_ISL_421204' 'EPI_ISL_423583'
 'EPI_ISL_433499' 'EPI_ISL_429571' 'EPI_ISL_435421' 'EPI_ISL_428359'
 'EPI_ISL_443301' 'EPI_ISL_421512' 'EPI_ISL_428352' 'EPI_ISL_432864'
 'EPI_ISL_419182' 'EPI_ISL_419185' 'EPI_ISL_419186' 'EPI_ISL_420063'
 'EPI_ISL_425899' 'EPI_ISL_419170' 'EPI_ISL_443310' 'EPI_ISL_417526'
 'EPI_ISL_420044' 'EPI_ISL_418423' 'EPI_ISL_418427' 'EPI_ISL_421750'
 'EPI_ISL_418422' 'EPI_ISL_418424' 'EPI_ISL_447136' 'EPI_ISL_417437'
 'EPI_ISL_420038' 'EPI_ISL_420046' 'EPI_ISL_420055' 'EPI_ISL_421738'
 'EPI_ISL_421752' 'EPI_ISL_421753' 'EPI_ISL_418417' 'EPI_ISL_418240'
 'EPI_ISL_420040' 'EPI_ISL_419587' 'EPI_ISL_416499' 'EPI_ISL_417339'
 'EPI_ISL_419578' 'EPI_ISL_417337' 'EPI_ISL_416754' 'EPI_ISL_416756'
 'EPI_ISL_415651' 'EPI_ISL_415652' 'EPI_ISL_416751' 'EPI_ISL_417334'
 'EPI_ISL_416747' 'EPI_ISL_416749' 'EPI_ISL_416752' 'MT451041.1'
 'MT451177.1' 'MT451179.1' 'MT451194.1' 'EPI_ISL_445282' 'EPI_ISL_445311'
 'EPI_ISL_452223' 'EPI_ISL_429115' 'EPI_ISL_415704' 'EPI_ISL_429212'
 'EPI_ISL_415706' 'EPI_ISL_429208' 'EPI_ISL_429196' 'EPI_ISL_415705'
 'EPI_ISL_429211' 'EPI_ISL_415707' 'EPI_ISL_421453']",1,0.001327564262805766
3037(SNP:C->T);9924(SNP:C->T);11083(SNP:G->T);14408(SNP:C->T);15324(SNP:C->T);23403(SNP:A->G),2020-05-08,['EPI_ISL_437339'],B.1,Democratic Republic of the Congo,['EPI_ISL_420381' 'EPI_ISL_437352' 'MT506893.1'],1,4.739185230899658e-06
1593(SNP:C->T);3037(SNP:C->T);9438(SNP:C->T);14408(SNP:C->T);15324(SNP:C->T);23403(SNP:A->G),2020-05-12,['EPI_ISL_443261'],B.1,France,"['EPI_ISL_416493' 'EPI_ISL_417946' 'EPI_ISL_417947' 'EPI_ISL_418024'
 'EPI_ISL_418230' 'EPI_ISL_418231' 'EPI_ISL_418234' 'EPI_ISL_418628'
 'EPI_ISL_418632' 'EPI_ISL_418634' 'EPI_ISL_418635' 'EPI_ISL_418648'
 'EPI_ISL_418657' 'EPI_ISL_418659' 'EPI_ISL_418795' 'EPI_ISL_419593'
 'EPI_ISL_420035' 'EPI_ISL_420039' 'EPI_ISL_420083' 'EPI_ISL_420365'
 'EPI_ISL_420368' 'EPI_ISL_420373' 'EPI_ISL_420380' 'EPI_ISL_420382'
 'EPI_ISL_420384' 'EPI_ISL_420389' 'EPI_ISL_420390' 'EPI_ISL_420395'
 'EPI_ISL_420396' 'EPI_ISL_420397' 'EPI_ISL_420427' 'EPI_ISL_420432'
 'EPI_ISL_420434' 'EPI_ISL_420440' 'EPI_ISL_420452' 'EPI_ISL_421508'
 'EPI_ISL_421745' 'EPI_ISL_421746' 'MT320538.2' 'EPI_ISL_427394'
 'EPI_ISL_428890' 'EPI_ISL_429724' 'EPI_ISL_429766' 'EPI_ISL_429782'
 'EPI_ISL_434621' 'EPI_ISL_434622' 'EPI_ISL_434623' 'EPI_ISL_434624'
 'EPI_ISL_434625' 'EPI_ISL_434631' 'EPI_ISL_434632' 'EPI_ISL_434633'
 'EPI_ISL_434634' 'EPI_ISL_435032' 'EPI_ISL_433646' 'EPI_ISL_437348'
 'EPI_ISL_437350' 'FR994049.1' 'EPI_ISL_443291' 'EPI_ISL_444969'
 'EPI_ISL_445069' 'MT358643.1' 'MT470101.1' 'MT470102.1' 'MT470106.1'
 'MT470110.1' 'MT470113.1' 'MT470114.1' 'MT470118.1' 'MT470124.1'
 'MT470133.1' 'MT470136.1' 'MT470138.1' 'MT470140.1' 'MT470143.1'
 'MT470148.1' 'MT470155.1' 'MT470162.1' 'MT470164.1' 'MT470165.1'
 'MT470167.1' 'MT470173.1' 'MT470176.1' 'EPI_ISL_445216' 'EPI_ISL_445272'
 'EPI_ISL_450519' 'LR824235.1' 'LR824247.1' 'LR824250.1' 'LR824268.1'
 'LR824263.1' 'LR824266.1' 'LR824283.1' 'LR824301.1' 'LR824326.1'
 'LR824321.1' 'LR824318.1' 'LR824325.1' 'LR824342.1' 'LR824371.1'
 'LR824381.1' 'LR824400.1' 'LR824409.1' 'LR824413.1' 'LR824414.1'
 'EPI_ISL_451935' 'EPI_ISL_452148' 'EPI_ISL_452151' 'EPI_ISL_452152'
 'EPI_ISL_453982' 'EPI_ISL_457974' 'NMDC60013159' 'NMDC60013162'
 'NMDC60013163' 'NMDC60013164' 'NMDC60013165' 'NMDC60013166'
 'NMDC60013167' 'NMDC60013168' 'NMDC60013169' 'NMDC60013170'
 'NMDC60013171' 'NMDC60013172' 'NMDC60013173' 'NMDC60013174'
 'NMDC60013175' 'NMDC60013176' 'NMDC60013177' 'NMDC60013184'
 'NMDC60013186' 'NMDC60013188' 'NMDC60013189' 'NMDC60013190'
 'NMDC60013191' 'NMDC60013192' 'NMDC60013193' 'NMDC60013194'
 'NMDC60013195' 'NMDC60013196' 'NMDC60013197' 'NMDC60013198'
 'NMDC60013199' 'NMDC60013239' 'NMDC60013240' 'NMDC60013242' 'LR794385.1'
 'LR794405.1' 'LR794433.1' 'LR794462.1' 'LR794514.1' 'LR794519.1'
 'LR794530.1' 'LR794549.1' 'LR794564.1' 'LR794619.1' 'LR794620.1'
 'LR794650.1' 'EPI_ISL_421932' 'EPI_ISL_420624' 'EPI_ISL_420620'
 'EPI_ISL_420609' 'EPI_ISL_420611' 'EPI_ISL_420619' 'EPI_ISL_420598'
 'EPI_ISL_420605' 'EPI_ISL_451091' 'EPI_ISL_434889' 'EPI_ISL_451087'
 'EPI_ISL_451084' 'EPI_ISL_455978' 'EPI_ISL_439246' 'EPI_ISL_453745'
 'EPI_ISL_453760' 'EPI_ISL_439159' 'EPI_ISL_432762' 'EPI_ISL_434503'
 'EPI_ISL_434493' 'EPI_ISL_442479' 'EPI_ISL_427379' 'EPI_ISL_427385'
 'EPI_ISL_432478' 'EPI_ISL_424658' 'EPI_ISL_424652' 'EPI_ISL_424655'
 'EPI_ISL_424644' 'EPI_ISL_424642' 'EPI_ISL_424650' 'EPI_ISL_424633'
 'EPI_ISL_424640' 'EPI_ISL_428944' 'EPI_ISL_421204' 'EPI_ISL_423583'
 'EPI_ISL_433499' 'EPI_ISL_429571' 'EPI_ISL_435421' 'EPI_ISL_428359'
 'EPI_ISL_443301' 'EPI_ISL_421512' 'EPI_ISL_428352' 'EPI_ISL_432864'
 'EPI_ISL_419182' 'EPI_ISL_419185' 'EPI_ISL_419186' 'EPI_ISL_420063'
 'EPI_ISL_425899' 'EPI_ISL_419170' 'EPI_ISL_443310' 'EPI_ISL_417526'
 'EPI_ISL_420044' 'EPI_ISL_418423' 'EPI_ISL_418427' 'EPI_ISL_421750'
 'EPI_ISL_418422' 'EPI_ISL_418424' 'EPI_ISL_447136' 'EPI_ISL_417437'
 'EPI_ISL_420038' 'EPI_ISL_420046' 'EPI_ISL_420055' 'EPI_ISL_421738'
 'EPI_ISL_421752' 'EPI_ISL_421753' 'EPI_ISL_418417' 'EPI_ISL_418240'
 'EPI_ISL_420040' 'EPI_ISL_419587' 'EPI_ISL_416499' 'EPI_ISL_417339'
 'EPI_ISL_419578' 'EPI_ISL_417337' 'EPI_ISL_416754' 'EPI_ISL_416756'
 'EPI_ISL_415651' 'EPI_ISL_415652' 'EPI_ISL_416751' 'EPI_ISL_417334'
 'EPI_ISL_416747' 'EPI_ISL_416749' 'EPI_ISL_416752' 'MT451041.1'
 'MT451177.1' 'MT451179.1' 'MT451194.1' 'EPI_ISL_445282' 'EPI_ISL_445311'
 'EPI_ISL_452223' 'EPI_ISL_429115' 'EPI_ISL_415704' 'EPI_ISL_429212'
 'EPI_ISL_415706' 'EPI_ISL_429208' 'EPI_ISL_429196' 'EPI_ISL_415705'
 'EPI_ISL_429211' 'EPI_ISL_415707' 'EPI_ISL_421453']",1,0.001327564262805766
3037(SNP:C->T);10396(SNP:G->T);14408(SNP:C->T);15324(SNP:C->T);23403(SNP:A->G);27493(SNP:C->T),2020-05-12,['EPI_ISL_443293'],B.1,France,"['EPI_ISL_416493' 'EPI_ISL_417946' 'EPI_ISL_417947' 'EPI_ISL_418024'
 'EPI_ISL_418230' 'EPI_ISL_418231' 'EPI_ISL_418234' 'EPI_ISL_418628'
 'EPI_ISL_418632' 'EPI_ISL_418634' 'EPI_ISL_418635' 'EPI_ISL_418648'
 'EPI_ISL_418657' 'EPI_ISL_418659' 'EPI_ISL_418795' 'EPI_ISL_419593'
 'EPI_ISL_420035' 'EPI_ISL_420039' 'EPI_ISL_420083' 'EPI_ISL_420365'
 'EPI_ISL_420368' 'EPI_ISL_420373' 'EPI_ISL_420380' 'EPI_ISL_420382'
 'EPI_ISL_420384' 'EPI_ISL_420389' 'EPI_ISL_420390' 'EPI_ISL_420395'
 'EPI_ISL_420396' 'EPI_ISL_420397' 'EPI_ISL_420427' 'EPI_ISL_420432'
 'EPI_ISL_420434' 'EPI_ISL_420440' 'EPI_ISL_420452' 'EPI_ISL_421508'
 'EPI_ISL_421745' 'EPI_ISL_421746' 'MT320538.2' 'EPI_ISL_427394'
 'EPI_ISL_428890' 'EPI_ISL_429724' 'EPI_ISL_429766' 'EPI_ISL_429782'
 'EPI_ISL_434621' 'EPI_ISL_434622' 'EPI_ISL_434623' 'EPI_ISL_434624'
 'EPI_ISL_434625' 'EPI_ISL_434631' 'EPI_ISL_434632' 'EPI_ISL_434633'
 'EPI_ISL_434634' 'EPI_ISL_435032' 'EPI_ISL_433646' 'EPI_ISL_437348'
 'EPI_ISL_437350' 'FR994049.1' 'EPI_ISL_443291' 'EPI_ISL_444969'
 'EPI_ISL_445069' 'MT358643.1' 'MT470101.1' 'MT470102.1' 'MT470106.1'
 'MT470110.1' 'MT470113.1' 'MT470114.1' 'MT470118.1' 'MT470124.1'
 'MT470133.1' 'MT470136.1' 'MT470138.1' 'MT470140.1' 'MT470143.1'
 'MT470148.1' 'MT470155.1' 'MT470162.1' 'MT470164.1' 'MT470165.1'
 'MT470167.1' 'MT470173.1' 'MT470176.1' 'EPI_ISL_445216' 'EPI_ISL_445272'
 'EPI_ISL_450519' 'LR824235.1' 'LR824247.1' 'LR824250.1' 'LR824268.1'
 'LR824263.1' 'LR824266.1' 'LR824283.1' 'LR824301.1' 'LR824326.1'
 'LR824321.1' 'LR824318.1' 'LR824325.1' 'LR824342.1' 'LR824371.1'
 'LR824381.1' 'LR824400.1' 'LR824409.1' 'LR824413.1' 'LR824414.1'
 'EPI_ISL_451935' 'EPI_ISL_452148' 'EPI_ISL_452151' 'EPI_ISL_452152'
 'EPI_ISL_453982' 'EPI_ISL_457974' 'NMDC60013159' 'NMDC60013162'
 'NMDC60013163' 'NMDC60013164' 'NMDC60013165' 'NMDC60013166'
 'NMDC60013167' 'NMDC60013168' 'NMDC60013169' 'NMDC60013170'
 'NMDC60013171' 'NMDC60013172' 'NMDC60013173' 'NMDC60013174'
 'NMDC60013175' 'NMDC60013176' 'NMDC60013177' 'NMDC60013184'
 'NMDC60013186' 'NMDC60013188' 'NMDC60013189' 'NMDC60013190'
 'NMDC60013191' 'NMDC60013192' 'NMDC60013193' 'NMDC60013194'
 'NMDC60013195' 'NMDC60013196' 'NMDC60013197' 'NMDC60013198'
 'NMDC60013199' 'NMDC60013239' 'NMDC60013240' 'NMDC60013242' 'LR794385.1'
 'LR794405.1' 'LR794433.1' 'LR794462.1' 'LR794514.1' 'LR794519.1'
 'LR794530.1' 'LR794549.1' 'LR794564.1' 'LR794619.1' 'LR794620.1'
 'LR794650.1' 'EPI_ISL_421932' 'EPI_ISL_420624' 'EPI_ISL_420620'
 'EPI_ISL_420609' 'EPI_ISL_420611' 'EPI_ISL_420619' 'EPI_ISL_420598'
 'EPI_ISL_420605' 'EPI_ISL_451091' 'EPI_ISL_434889' 'EPI_ISL_451087'
 'EPI_ISL_451084' 'EPI_ISL_455978' 'EPI_ISL_439246' 'EPI_ISL_453745'
 'EPI_ISL_453760' 'EPI_ISL_439159' 'EPI_ISL_432762' 'EPI_ISL_434503'
 'EPI_ISL_434493' 'EPI_ISL_442479' 'EPI_ISL_427379' 'EPI_ISL_427385'
 'EPI_ISL_432478' 'EPI_ISL_424658' 'EPI_ISL_424652' 'EPI_ISL_424655'
 'EPI_ISL_424644' 'EPI_ISL_424642' 'EPI_ISL_424650' 'EPI_ISL_424633'
 'EPI_ISL_424640' 'EPI_ISL_428944' 'EPI_ISL_421204' 'EPI_ISL_423583'
 'EPI_ISL_433499' 'EPI_ISL_429571' 'EPI_ISL_435421' 'EPI_ISL_428359'
 'EPI_ISL_443301' 'EPI_ISL_421512' 'EPI_ISL_428352' 'EPI_ISL_432864'
 'EPI_ISL_419182' 'EPI_ISL_419185' 'EPI_ISL_419186' 'EPI_ISL_420063'
 'EPI_ISL_425899' 'EPI_ISL_419170' 'EPI_ISL_443310' 'EPI_ISL_417526'
 'EPI_ISL_420044' 'EPI_ISL_418423' 'EPI_ISL_418427' 'EPI_ISL_421750'
 'EPI_ISL_418422' 'EPI_ISL_418424' 'EPI_ISL_447136' 'EPI_ISL_417437'
 'EPI_ISL_420038' 'EPI_ISL_420046' 'EPI_ISL_420055' 'EPI_ISL_421738'
 'EPI_ISL_421752' 'EPI_ISL_421753' 'EPI_ISL_418417' 'EPI_ISL_418240'
 'EPI_ISL_420040' 'EPI_ISL_419587' 'EPI_ISL_416499' 'EPI_ISL_417339'
 'EPI_ISL_419578' 'EPI_ISL_417337' 'EPI_ISL_416754' 'EPI_ISL_416756'
 'EPI_ISL_415651' 'EPI_ISL_415652' 'EPI_ISL_416751' 'EPI_ISL_417334'
 'EPI_ISL_416747' 'EPI_ISL_416749' 'EPI_ISL_416752' 'MT451041.1'
 'MT451177.1' 'MT451179.1' 'MT451194.1' 'EPI_ISL_445282' 'EPI_ISL_445311'
 'EPI_ISL_452223' 'EPI_ISL_429115' 'EPI_ISL_415704' 'EPI_ISL_429212'
 'EPI_ISL_415706' 'EPI_ISL_429208' 'EPI_ISL_429196' 'EPI_ISL_415705'
 'EPI_ISL_429211' 'EPI_ISL_415707' 'EPI_ISL_421453']",1,0.001327564262805766
